ID,Num_of_Vehicle,Num_Of_Pedestrians,Num_of_Minimal_Injuries,Num_of_Minor_Injuries,Num_of_Major_Injuries,Num_of_Fatal_Injuries,City,Address,Location type,Neighborhood,Suburb,Lat,Long,Place_name,Population,Population_density_persqm,Day,Time,Hour,Minute,AMPM,Notation12,Calendar_Date,Month,Year,Quarter,is_Business_Day,Visibility,Light,Road_surface,Traffic_Control,is_day,temperature,sunset,sunrise,precipitation
1,2,0,0,0,1,0,Ottawa,SOMERSET ST    W btwn BAYSWATER AVE & BREEZEHILL AVE N,Midblock,Unknown,Hintonburg,45.40665042,-75.71998841,Hintonburg,8696,6955,Tuesday,0:46,0,46,AM,12:46,2017-01-03,January,2017,1st,Yes,clear,dark,wet,no control,0,-3.6,2017-01-03T16:32,2017-01-03T07:42,0.0
2,2,0,0,0,1,0,Ottawa,INNES RD @ STONEHENGE CRES E,Intersection,Beacon Hill-Cyrville,Gloucester,45.41818885,-75.59838023,Gloucester,150012,500,Thursday,6:43,6,43,AM,6:43,2017-01-12,January,2017,1st,Yes,rain,dark,wet,traffic signal,0,6.0,2017-01-12T16:41,2017-01-12T07:39,3.8
3,1,0,0,0,1,0,Ottawa,GRANT CARMAN DR @ MEADOWLANDS DR,Intersection,City View,Nepean,45.35247295,-75.73103976,Nepean,186593,860,Wednesday,0:02,0,2,AM,12:02,2017-01-18,January,2017,1st,Yes,snow,dark,packed snow,traffic signal,0,-3.0,2017-01-18T16:50,2017-01-18T07:36,0.3
4,2,0,0,0,2,1,Ottawa,FALLOWFIELD RD btwn EAGLESON RD & SHEA RD,Midblock,Unknown,Ottawa,45.2505399,-75.85169537,Ottawa,5501,3865,Friday,18:56,18,56,PM,6:56,2017-01-20,January,2017,1st,Yes,clear,dark,dry,no control,0,-1.5,2017-01-20T16:53,2017-01-20T07:35,0.0
5,4,1,0,0,1,0,Ottawa,CHURCHILL AVE @ RICHMOND RD,Intersection,Westboro Beach,Westboro,45.39213235,-75.75379318,Westboro,11408,4545,Saturday,15:02,15,2,PM,3:02,2017-01-28,January,2017,1st,No,snow,daylight,wet,traffic signal,1,1.6,2017-01-28T17:04,2017-01-28T07:27,0.0
6,2,0,0,1,1,0,Ottawa,GREENBANK RD btwn FALLOWFIELD RD & WEST HUNT CLUB RD,Midblock,Knoxdale-Merivale,Nepean,45.29641229,-75.7620284,Nepean,186593,860,Tuesday,8:39,8,39,AM,8:39,2017-02-07,February,2017,1st,Yes,snow,daylight,loose snow,no control,1,-11.2,2017-02-07T17:18,2017-02-07T07:15,0.0
7,1,1,0,0,1,0,Ottawa,CUMBERLAND ST btwn GEORGE ST & YORK ST,Midblock,Byward Market,Lowertown,45.42940056,-75.68864761,Lowertown,9605,6052,Sunday,17:42,17,42,PM,5:42,2017-02-19,February,2017,1st,No,clear,dark,wet,no control,1,4.5,2017-02-19T17:35,2017-02-19T06:57,0.0
8,2,0,0,0,1,0,Ottawa,SNAKE ISLAND RD @ STAGECOACH RD,Intersection,Unknown,Ottawa,45.19539237,-75.5675498,Ottawa,5501,3865,Thursday,15:14,15,14,PM,3:14,2017-02-09,February,2017,1st,Yes,clear,daylight,dry,stop sign,1,-11.8,2017-02-09T17:21,2017-02-09T07:11,0.0
9,2,0,0,0,0,2,Ottawa,COLONIAL RD btwn BIRCHGROVE RD & CANAAN RD,Midblock,Unknown,Ottawa,45.45361403,-75.30291848,Ottawa,5501,3865,Tuesday,10:35,10,35,AM,10:35,2017-02-14,February,2017,1st,Yes,clear,daylight,dry,no control,1,-8.5,2017-02-14T17:27,2017-02-14T07:03,0.2
10,2,0,1,0,1,0,Ottawa,BOOTH ST @ LOUISA ST,Intersection,Centretown West,Centretown,45.4051161,-75.70795072,Centretown,25687,12231,Tuesday,9:32,9,32,AM,9:32,2017-02-28,February,2017,1st,Yes,clear,daylight,dry,stop sign,1,-3.0,2017-02-28T17:48,2017-02-28T06:41,0.0
11,1,1,0,0,1,0,Ottawa,O'CONNOR ST @ QUEEN ST,Intersection,Unknown,Centretown,45.42140715,-75.69882085,Centretown,25687,12231,Thursday,10:40,10,40,AM,10:40,2017-03-09,March,2017,1st,Yes,clear,daylight,dry,traffic signal,1,-4.2,2017-03-09T18:00,2017-03-09T06:25,0.0
12,2,0,1,0,1,0,Ottawa,ALBION RD @ MITCH OWENS RD,Intersection,Unknown,Ottawa,45.26961413,-75.59381985,Ottawa,5501,3865,Tuesday,6:37,6,37,AM,6:37,2017-03-14,March,2017,1st,Yes,snow,dawn,wet,traffic signal,0,-12.0,2017-03-14T18:07,2017-03-14T06:15,0.0
13,1,1,0,0,1,0,Ottawa,SLATER ST btwn BAY ST & COMMISSIONER ST,Midblock,Chinatown,Centretown,45.4167975,-75.70567342,Centretown,25687,12231,Wednesday,9:09,9,9,AM,9:09,2017-03-22,March,2017,1st,Yes,clear,daylight,dry,no control,1,-14.7,2017-03-22T18:17,2017-03-22T06:01,0.0
14,2,0,0,0,2,0,Ottawa,WEST HUNT CLUB RD EB btwn CEDARVIEW RD & GREENBANK RD,Midblock,Arlington Woods,Nepean,45.31462211,-75.79724649,Nepean,186593,860,Wednesday,16:41,16,41,PM,4:41,2017-03-15,March,2017,1st,Yes,snow,daylight,slush,no control,1,-6.1,2017-03-15T18:09,2017-03-15T06:14,0.1
15,2,0,0,0,0,1,Ottawa,MILTON RD @ NAVAN RD,Intersection,Unknown,Ottawa,45.4213859,-75.44620525,Ottawa,5501,3865,Monday,13:00,13,0,PM,1:00,2017-03-06,March,2017,1st,Yes,clear,daylight,dry,stop sign,1,-2.1,2017-03-06T17:55,2017-03-06T06:30,0.0
16,1,0,0,0,0,1,Ottawa,PANMURE RD,Midblock,Unknown,Ottawa,45.31488332,-76.19163185,Ottawa,5501,3865,Thursday,22:26,22,26,PM,10:26,2017-03-02,March,2017,1st,Yes,clear,dark,dry,no control,0,-11.8,2017-03-02T17:53,2017-03-02T06:40,0.0
17,2,0,0,0,1,0,Ottawa,MERIVALE RD @ WEST HUNT CLUB RD,Intersection,Knoxdale-Merivale,Nepean,45.33480584,-75.72412042,Nepean,186593,860,Friday,8:24,8,24,AM,8:24,2017-04-21,April,2017,2nd,Yes,rain,daylight,wet,traffic signal,1,7.9,2017-04-21T18:56,2017-04-21T05:06,2.3
18,1,1,0,0,1,0,Ottawa,BANK ST @ COLLINS AVE/WILDWOOD AVE,Intersection,Brookfield Gardens,Ottawa,45.37719905,-75.66687369,Ottawa,5501,3865,Monday,13:20,13,20,PM,1:20,2017-04-10,April,2017,2nd,Yes,clear,daylight,dry,stop sign,1,21.9,2017-04-10T18:42,2017-04-10T05:25,0.0
